日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量
2020-12-28,'399001,深证成指,14044.1005,14112.5856,13959.1429,14020.9523,14017.057,27.0435,0.1929,14949166074
2020-12-25,'399001,深证成指,14017.057,14017.057,13835.5154,13879.2359,13915.5738,101.4832,0.7293,13200289085
2020-12-24,'399001,深证成指,13915.5738,14048.6186,13867.6599,13998.3587,14015.0229,-99.4491,-0.7096,13604046253
2020-12-23,'399001,深证成指,14015.0229,14078.1314,13897.1108,13912.5186,13882.3026,132.7203,0.956,15442982858
2020-12-22,'399001,深证成指,13882.3026,14172.7675,13872.4986,14085.286,14134.8495,-252.5469,-1.7867,16185875736
2020-12-21,'399001,深证成指,14134.8495,14134.8495,13819.7036,13858.6588,13854.1197,280.7298,2.0263,14685616830
2020-12-18,'399001,深证成指,13854.1197,13939.9296,13806.6189,13911.8335,13889.8663,-35.7466,-0.2574,12204235460
2020-12-17,'399001,深证成指,13889.8663,13901.8302,13688.8326,13746.2809,13751.0908,138.7755,1.0092,12973003005
2020-12-16,'399001,深证成指,13751.0908,13807.1751,13709.804,13791.4148,13763.3126,-12.2218,-0.0888,11060623502
2020-12-15,'399001,深证成指,13763.3126,13783.0426,13641.7224,13682.2755,13692.1325,71.1801,0.5199,10818462700
2020-12-14,'399001,深证成指,13692.1325,13695.3226,13511.779,13583.1949,13555.1445,136.988,1.0106,11326638536
2020-12-11,'399001,深证成指,13555.1445,13771.9648,13431.5545,13767.4781,13731.3422,-176.1977,-1.2832,14882422352
2020-12-10,'399001,深证成指,13731.3422,13814.8039,13621.127,13672.0533,13716.5307,14.8115,0.108,12065878099
2020-12-09,'399001,深证成指,13716.5307,14017.3504,13710.8602,13998.6174,13973.8919,-257.3612,-1.8417,14126046604
2020-12-08,'399001,深证成指,13973.8919,14040.5013,13942.663,14000.8657,13973.4819,0.41,0.0029,12337881975
2020-12-07,'399001,深证成指,13973.4819,14054.8751,13958.7399,14021.1614,14026.6567,-53.1748,-0.3791,14005535309
2020-12-04,'399001,深证成指,14026.6567,14049.2121,13903.8362,13933.8767,13970.684,55.9727,0.4006,14248483279
2020-12-03,'399001,深证成指,13970.684,14009.5111,13889.6194,13955.9785,13961.5754,9.1086,0.0652,17810256793
