日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量
2020-12-28,'399006,创业板指,2842.8101,2860.9954,2823.0034,2847.1203,2840.8006,2.0095,0.0707,1954697581
2020-12-25,'399006,创业板指,2840.8006,2841.5675,2793.7782,2811.5466,2820.7532,20.0474,0.7107,1587654467
2020-12-24,'399006,创业板指,2820.7532,2848.3372,2811.9284,2838.9381,2842.9704,-22.2172,-0.7815,1599233677
2020-12-23,'399006,创业板指,2842.9704,2865.4717,2809.7854,2822.2592,2811.7493,31.2211,1.1104,1754104076
2020-12-22,'399006,创业板指,2811.7493,2888.3498,2809.922,2867.2105,2882.4426,-70.6933,-2.4525,1919440802
2020-12-21,'399006,创业板指,2882.4426,2882.4426,2783.3867,2789.6424,2780.7302,101.7124,3.6578,1741311938
2020-12-18,'399006,创业板指,2780.7302,2803.1142,2768.4683,2787.7759,2785.6153,-4.8851,-0.1754,1404089573
2020-12-17,'399006,创业板指,2785.6153,2789.2484,2739.1555,2758.4424,2760.6399,24.9754,0.9047,1632860801
2020-12-16,'399006,创业板指,2760.6399,2771.5917,2732.5783,2764.3375,2758.8546,1.7853,0.0647,1462688601
2020-12-15,'399006,创业板指,2758.8546,2761.3187,2720.1419,2727.9527,2726.601,32.2536,1.1829,1437732276
2020-12-14,'399006,创业板指,2726.601,2729.0682,2674.5076,2695.1911,2687.7808,38.8202,1.4443,1579112273
2020-12-11,'399006,创业板指,2687.7808,2733.9383,2665.1006,2727.9658,2718.5452,-30.7644,-1.1316,2226004299
2020-12-10,'399006,创业板指,2718.5452,2734.6387,2675.4576,2689.2149,2697.8256,20.7196,0.768,1638240584
2020-12-09,'399006,创业板指,2697.8256,2763.414,2693.1874,2752.3544,2746.2816,-48.456,-1.7644,1966922667
2020-12-08,'399006,创业板指,2746.2816,2757.3426,2735.8343,2736.0285,2726.4828,19.7988,0.7262,1616984352
2020-12-07,'399006,创业板指,2726.4828,2739.7652,2715.9273,2720.8542,2730.8373,-4.3545,-0.1595,1887437239
2020-12-04,'399006,创业板指,2730.8373,2736.2733,2696.9472,2701.3687,2712.5177,18.3196,0.6754,1612755768
2020-12-03,'399006,创业板指,2712.5177,2721.8484,2670.2148,2681.5856,2682.9718,29.5459,1.1012,1887510567
2020-12-02,'399006,创业板指,2682.9718,2703.2539,2662.1775,2697.4444,2698.4431,-15.4713,-0.5733,2182639089
2020-12-01,'399006,创业板指,2698.4431,2700.2795,2627.4465,2628.7259,2631.8893,66.5538,2.5287,2521407064
2020-11-30,'399006,创业板指,2631.8893,2653.4356,2593.7032,2627.8668,2618.9908,12.8985,0.4925,2481798541
2020-11-27,'399006,创业板指,2618.9908,2635.6939,2594.0684,2614.6635,2609.3862,9.6046,0.3681,1512045739
