日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量
2020-12-28,'399005,中小板指,9295.6828,9346.9371,9263.0021,9317.3567,9343.2134,-47.5306,-0.5087,3406135932
2020-12-25,'399005,中小板指,9343.2134,9355.8632,9241.4117,9260.2168,9274.8887,68.3247,0.7367,3226457738
2020-12-24,'399005,中小板指,9274.8887,9384.4859,9242.7315,9278.9687,9291.1206,-16.2319,-0.1747,3215319387
2020-12-23,'399005,中小板指,9291.1206,9304.8026,9161.7998,9203.4968,9174.7861,116.3345,1.268,3990590498
2020-12-22,'399005,中小板指,9174.7861,9352.7493,9168.2228,9261.3256,9292.6835,-117.8974,-1.2687,4018505279
2020-12-21,'399005,中小板指,9292.6835,9292.6835,9071.9912,9094.4344,9096.2837,196.3998,2.1591,3802800319
2020-12-18,'399005,中小板指,9096.2837,9135.1933,9059.2889,9122.7677,9081.0576,15.2261,0.1677,3061766173
2020-12-17,'399005,中小板指,9081.0576,9084.4085,8971.7579,9033.5701,9039.1008,41.9568,0.4642,3243970725
2020-12-16,'399005,中小板指,9039.1008,9106.7649,9022.0323,9096.0144,9067.2602,-28.1594,-0.3106,2837164142
2020-12-15,'399005,中小板指,9067.2602,9080.074,8971.5798,8996.3677,8998.2692,68.991,0.7667,2677185661
2020-12-14,'399005,中小板指,8998.2692,9002.2634,8883.4387,8950.8036,8942.2955,55.9737,0.6259,2930994220
2020-12-11,'399005,中小板指,8942.2955,9130.7867,8864.5781,9127.3398,9114.0188,-171.7233,-1.8842,4040932716
2020-12-10,'399005,中小板指,9114.0188,9181.1626,9043.5632,9090.5117,9138.0911,-24.0723,-0.2634,3163103981
2020-12-09,'399005,中小板指,9138.0911,9328.009,9137.1608,9308.5455,9275.1341,-137.043,-1.4775,3817010980
2020-12-08,'399005,中小板指,9275.1341,9327.0017,9263.4227,9292.7322,9268.8475,6.2866,0.0678,2769138729
2020-12-07,'399005,中小板指,9268.8475,9310.5869,9242.1761,9277.5872,9273.6764,-4.8289,-0.0521,3141795043
2020-12-04,'399005,中小板指,9273.6764,9286.6186,9179.5152,9194.8611,9205.9287,67.7477,0.7359,3387910325
2020-12-03,'399005,中小板指,9205.9287,9227.6693,9149.8272,9172.094,9176.6302,29.2985,0.3193,3622938898
2020-12-02,'399005,中小板指,9176.6302,9215.5255,9108.0852,9194.8369,9195.2807,-18.6505,-0.2028,3543670770
2020-12-01,'399005,中小板指,9195.2807,9200.1992,9014.1651,9024.8836,9042.4698,152.8109,1.6899,3921727449
2020-11-30,'399005,中小板指,9042.4698,9118.5864,8988.3762,9063.7784,9028.1946,14.2752,0.1581,4253276162
2020-11-27,'399005,中小板指,9028.1946,9028.1946,8917.5075,8966.4965,8942.4839,85.7107,0.9585,2724634991
2020-11-26,'399005,中小板指,8942.4839,8991.6564,8832.0903,8966.2417,8962.4907,-20.0068,-0.2232,2689117640
2020-11-25,'399005,中小板指,8962.4907,9148.8286,8960.0749,9126.5328,9118.199,-155.7083,-1.7077,3202296946
2020-11-24,'399005,中小板指,9118.199,9164.6248,9071.6751,9155.3345,9148.5716,-30.3726,-0.332,3277817568
2020-11-23,'399005,中小板指,9148.5716,9190.4249,9067.0897,9144.1826,9135.0813,13.4903,0.1477,3634585019
2020-11-20,'399005,中小板指,9135.0813,9146.8791,9076.2747,9106.1791,9083.9344,51.1469,0.563,2679885386
2020-11-19,'399005,中小板指,9083.9344,9105.3217,8937.1609,8993.6332,9000.4225,83.5119,0.9279,2576197132
2020-11-18,'399005,中小板指,9000.4225,9062.4443,8945.77,9035.5742,9068.2643,-67.8418,-0.7481,2883794761
2020-11-17,'399005,中小板指,9068.2643,9138.2094,8974.2669,9138.2094,9150.1519,-81.8876,-0.8949,3087269496
2020-11-16,'399005,中小板指,9150.1519,9169.3595,9019.9667,9164.7811,9144.6463,5.5056,0.0602,3059286228
2020-11-13,'399005,中小板指,9144.6463,9193.7995,9088.8503,9185.4015,9188.3892,-43.7429,-0.4761,2616550628
2020-11-12,'399005,中小板指,9188.3892,9231.7271,9147.2132,9202.2072,9150.3711,38.0181,0.4155,2487496337
2020-11-11,'399005,中小板指,9150.3711,9374.4185,9148.186,9327.2045,9374.3035,-223.9324,-2.3888,3102753853
2020-11-10,'399005,中小板指,9374.3035,9471.2208,9323.9641,9471.2208,9496.8182,-122.5147,-1.2901,3563357032
2020-11-09,'399005,中小板指,9496.8182,9559.8127,9389.9892,9389.9892,9329.9395,166.8787,1.7886,4526766208
2020-11-06,'399005,中小板指,9329.9395,9393.8151,9231.4686,9393.8151,9372.0135,-42.074,-0.4489,3473960651
2020-11-05,'399005,中小板指,9372.0135,9372.9642,9240.1355,9306.5221,9201.4284,170.5851,1.8539,3223386056
2020-11-04,'399005,中小板指,9201.4284,9217.8118,9109.0628,9134.783,9138.4689,62.9595,0.689,2790102572
2020-11-03,'399005,中小板指,9138.4689,9165.7888,9056.3289,9108.6138,9061.8586,76.6103,0.8454,3019988204
2020-11-02,'399005,中小板指,9061.8586,9082.8285,8953.9898,8969.3513,8967.1098,94.7488,1.0566,3357462610
2020-10-30,'399005,中小板指,8967.1098,9197.985,8941.3386,9193.8783,9173.5406,-206.4308,-2.2503,3150768138
2020-10-29,'399005,中小板指,9173.5406,9226.6663,8973.646,8985.3909,9124.2682,49.2724,0.54,2948776195
2020-10-28,'399005,中小板指,9124.2682,9164.6667,8951.8247,9010.737,9003.9594,120.3088,1.3362,3016827041
2020-10-27,'399005,中小板指,9003.9594,9016.669,8874.3661,8890.3956,8921.2083,82.7511,0.9276,2401289745
2020-10-26,'399005,中小板指,8921.2083,8968.0647,8691.3511,8777.1027,8816.0575,105.1508,1.1927,2553866396
2020-10-23,'399005,中小板指,8816.0575,9065.7383,8805.9194,9017.0154,8998.0701,-182.0126,-2.0228,2342907431
2020-10-22,'399005,中小板指,8998.0701,9021.6626,8906.9689,8999.8072,9028.8291,-30.759,-0.3407,2297372038
2020-10-21,'399005,中小板指,9028.8291,9145.0058,8974.6754,9145.0058,9144.0727,-115.2436,-1.2603,2186929333
2020-10-20,'399005,中小板指,9144.0727,9144.0727,8978.7586,9010.197,9015.7721,128.3006,1.4231,2290570870
